strategy_name,strategy_type,scenario_name,targeted_customers,expected_customers_saved,expected_saved_clv_proxy,campaign_cost_proxy,net_save_value_proxy,roi_proxy,break_even_response_rate,budget_cap,budget_utilization,budget_status,recommended_decision
All positive ROI paid-offer candidates,Full eligible pool,Aggressive growth,71437,6586.964664947173,23268292.534527536,909976.3124999999,22358316.222027536,24.5702178341346,0.007325873416125833,2000000.0,0.45498815624999994,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Aggressive growth,50000,6418.492256545314,23107806.894676354,798414.5249999999,22309392.369676355,27.942117372772444,0.006524286761753601,2000000.0,0.39920726249999994,Within budget and positive ROI,Recommended campaign candidate
Critical risk elite/high value,Risk/value,Aggressive growth,43405,6272.224250297232,22960108.208369628,777767.9999999999,22182340.208369628,28.520510240032543,0.006487182342393723,2000000.0,0.38888399999999995,Within budget and positive ROI,Recommended campaign candidate
Premium save budget only,Budget tier,Aggressive growth,45511,5981.433757075187,22835253.735594515,833378.5499999998,22001875.185594514,26.400817714344242,0.007113313580339681,2000000.0,0.4166892749999999,Within budget and positive ROI,Recommended campaign candidate
Immediate premium save offer only,Action,Aggressive growth,36407,5883.360892784349,22660704.17107046,753624.8999999999,21907079.27107046,29.06894301272485,0.006518353502384668,2000000.0,0.37681244999999997,Within budget and positive ROI,Recommended campaign candidate
"Top 25,000 by net save value",Top-N,Aggressive growth,25000,4582.8229262024215,21660642.953921493,517499.9999999999,21143142.953921493,40.856314886804824,0.0046826864842272305,2000000.0,0.2587499999999999,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 4 test-and-learn,Priority tier,Aggressive growth,14287,2772.98016824157,19039016.654728524,295740.8999999999,18743275.754728526,63.37735414590451,0.003044548857285849,2000000.0,0.14787044999999996,Within budget and positive ROI,Recommended campaign candidate
"Top 10,000 by net save value",Top-N,Aggressive growth,10000,1946.4027860647657,16463902.141000831,206999.99999999994,16256902.141000831,78.53575913526974,0.0024643003616355097,2000000.0,0.10349999999999997,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Aggressive growth,7143,1391.539675679343,13689324.514021993,147860.09999999998,13541464.414021993,91.58295181744091,0.0021170204249534117,2000000.0,0.07393004999999998,Within budget and positive ROI,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,Aggressive growth,5000,976.293790090522,10752668.509568429,103500.0,10649168.509568429,102.89051700066115,0.001886601449858534,2000000.0,0.05175,Within budget and positive ROI,Recommended campaign candidate
Tier 1 plus Tier 2 premium save,Priority tier,Aggressive growth,3571,697.7885900189222,8154004.192738449,73919.69999999998,8080084.492738449,109.3089459607987,0.001776827783937433,2000000.0,0.03695984999999999,Within budget and positive ROI,Recommended campaign candidate
Tier 1 executive save only,Priority tier,Aggressive growth,714,139.1233957133619,1923122.7080965457,14779.799999999997,1908342.9080965456,129.11831743978578,0.001506321353184589,2000000.0,0.007389899999999999,Within budget and positive ROI,Recommended campaign candidate
All positive ROI paid-offer candidates,Full eligible pool,Base,71437,4704.974760676553,16620208.953233957,791283.75,15828925.203233957,20.004107506610566,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Base,50000,4584.637326103797,16505576.353340255,694273.5,15811302.853340255,22.773882127634504,0.00567329283630748,1000000.0,0.6942735,Within budget and positive ROI,Recommended campaign candidate
Critical risk elite/high value,Risk/value,Base,43405,4480.160178783738,16400077.29169259,676320.0,15723757.29169259,23.248990554312442,0.005641028123820629,1000000.0,0.67632,Within budget and positive ROI,Recommended campaign candidate
Premium save budget only,Budget tier,Base,45511,4272.452683625133,16310895.525424654,724677.0,15586218.525424654,21.50781455106848,0.006185490069860594,1000000.0,0.724677,Within budget and positive ROI,Recommended campaign candidate
Immediate premium save offer only,Action,Base,36407,4202.400637703107,16186217.265050327,655326.0,15530891.265050327,23.699488903309692,0.005668133480334495,1000000.0,0.655326,Within budget and positive ROI,Recommended campaign candidate
"Top 25,000 by net save value",Top-N,Base,25000,3273.4449472874444,15471887.824229637,450000.0,15021887.824229637,33.381972942732524,0.004071901290632375,1000000.0,0.45,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 4 test-and-learn,Priority tier,Base,14287,1980.70012017255,13599297.610520376,257166.0,13342131.610520376,51.881398048421545,0.0026474337889442175,1000000.0,0.257166,Within budget and positive ROI,Recommended campaign candidate
"Top 10,000 by net save value",Top-N,Base,10000,1390.2877043319754,11759930.10071488,180000.0,11579930.10071488,64.33294500397155,0.0021428698796830525,1000000.0,0.18,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Base,7143,993.9569111995309,9778088.93858714,128574.0,9649514.93858714,75.05028185004076,0.001840887326046445,1000000.0,0.128574,Within budget and positive ROI,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,Base,5000,697.3527072075157,7680477.506834594,90000.0,7590477.506834594,84.33863896482882,0.001640522999876986,1000000.0,0.09,Within budget and positive ROI,Recommended campaign candidate
Tier 1 plus Tier 2 premium save,Priority tier,Base,3571,498.42042144208745,5824288.709098893,64278.0,5760010.709098893,89.61091989637035,0.0015450676382064638,1000000.0,0.064278,Within budget and positive ROI,Recommended campaign candidate
Tier 1 executive save only,Priority tier,Base,714,99.37385408097279,1373659.0772118184,12852.0,1360807.0772118184,105.8829036112526,0.0013098446549431211,1000000.0,0.012852,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Budget constrained,50000,4126.173593493417,14855018.71800623,763700.8500000001,14091317.868006231,18.45135810442823,0.006240622119938229,250000.0,3.0548034000000004,Positive ROI but over budget,"Good economics, review budget"
All positive ROI paid-offer candidates,Full eligible pool,Budget constrained,71437,4234.477284608898,14958188.057910563,870412.1250000001,14087775.932910563,16.185178869045007,0.0070073571806421025,250000.0,3.4816485000000004,Positive ROI but over budget,"Good economics, review budget"
Critical risk elite/high value,Risk/value,Budget constrained,43405,4032.144160905364,14760069.562523335,743952.0000000001,14016117.562523335,18.84008318080109,0.006205130936202693,250000.0,2.9758080000000007,Positive ROI but over budget,"Good economics, review budget"
Premium save budget only,Budget tier,Budget constrained,45511,3845.20741526262,14679805.972882193,797144.7000000002,13882661.272882193,17.415484632692397,0.0068040390768466545,250000.0,3.1885788000000006,Positive ROI but over budget,"Good economics, review budget"
Immediate premium save offer only,Action,Budget constrained,36407,3782.1605739327965,14567595.5385453,720858.6000000001,13846736.9385453,19.20867273907157,0.006234946828367945,250000.0,2.8834344000000005,Positive ROI but over budget,"Good economics, review budget"
"Top 25,000 by net save value",Top-N,Budget constrained,25000,2946.1004525587,13924699.041806677,495000.0000000001,13429699.041806677,27.130705134962977,0.004479091419695614,250000.0,1.9800000000000004,Positive ROI but over budget,"Good economics, review budget"
Tiers 1 to 4 test-and-learn,Priority tier,Budget constrained,14287,1782.6301081552954,12239367.84946834,282882.6000000001,11956485.24946834,42.26659840325399,0.00291217716783864,250000.0,1.1315304000000004,Positive ROI but over budget,"Good economics, review budget"
"Top 10,000 by net save value",Top-N,Budget constrained,10000,1251.2589338987782,10583937.090643393,198000.00000000006,10385937.090643393,52.45422773052217,0.0023571568676513588,250000.0,0.7920000000000003,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Budget constrained,7143,894.5612200795779,8800280.044728426,141431.40000000002,8658848.644728426,61.22295787730606,0.00202497605865109,250000.0,0.5657256,Within budget and positive ROI,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,Budget constrained,5000,627.6174364867642,6912429.756151135,99000.0,6813429.756151135,68.82252278940541,0.0018045752998646846,250000.0,0.396,Within budget and positive ROI,Recommended campaign candidate
Tier 1 plus Tier 2 premium save,Priority tier,Budget constrained,3571,448.57837929787866,5241859.838189005,70705.80000000002,5171154.038189005,73.13620718793938,0.0016995744020271105,250000.0,0.28282320000000005,Within budget and positive ROI,Recommended campaign candidate
Tier 1 executive save only,Priority tier,Budget constrained,714,89.43646867287552,1236293.1694906368,14137.200000000003,1222155.9694906368,86.44964840920667,0.0014408291204374335,250000.0,0.05654880000000001,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Conservative,50000,3209.246128272657,11553903.447338177,867841.875,10686061.572338177,12.313373991475322,0.00709161604538435,500000.0,1.73568375,Positive ROI but over budget,"Good economics, review budget"
All positive ROI paid-offer candidates,Full eligible pool,Conservative,71437,3293.4823324735867,11634146.267263768,989104.6875,10645041.579763768,10.762300203701914,0.007962905887093297,500000.0,1.978209375,Positive ROI but over budget,"Good economics, review budget"
Critical risk elite/high value,Risk/value,Conservative,43405,3136.112125148616,11480054.104184814,845400.0,10634654.104184814,12.579434710414969,0.007051285154775787,500000.0,1.6908,Positive ROI but over budget,"Good economics, review budget"
Premium save budget only,Budget tier,Conservative,45511,2990.7168785375934,11417626.867797257,905846.25,10511780.617797257,11.60437614859835,0.007731862587325742,500000.0,1.8116925,Positive ROI but over budget,"Good economics, review budget"
Immediate premium save offer only,Action,Conservative,36407,2941.6804463921744,11330352.08553523,819157.5,10511194.58553523,12.83171378585343,0.007085166850418118,500000.0,1.638315,Positive ROI but over budget,"Good economics, review budget"
"Top 25,000 by net save value",Top-N,Conservative,25000,2291.4114631012108,10830321.476960747,562500.0,10267821.476960747,18.253904847930215,0.005089876613290469,500000.0,1.125,Positive ROI but over budget,"Good economics, review budget"
Tiers 1 to 4 test-and-learn,Priority tier,Conservative,14287,1386.490084120785,9519508.327364262,321457.5,9198050.827364262,28.613582907116065,0.0033092922361802717,500000.0,0.642915,Within budget and positive ROI,Recommended campaign candidate
"Top 10,000 by net save value",Top-N,Conservative,10000,973.2013930323828,8231951.070500416,225000.0,8006951.070500416,35.58644920222407,0.0026785873496038156,500000.0,0.45,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Conservative,7143,695.7698378396715,6844662.257010996,160717.5,6683944.757010996,41.58815783602281,0.0023011091575580564,500000.0,0.321435,Within budget and positive ROI,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,Conservative,5000,488.146895045261,5376334.254784214,112500.0,5263834.254784214,46.78963782030413,0.0020506537498462324,500000.0,0.225,Within budget and positive ROI,Recommended campaign candidate
Tier 1 plus Tier 2 premium save,Priority tier,Conservative,3571,348.8942950094611,4077002.0963692246,80347.5,3996654.5963692246,49.74211514196739,0.0019313345477580796,500000.0,0.160695,Within budget and positive ROI,Recommended campaign candidate
Tier 1 executive save only,Priority tier,Conservative,714,69.56169785668095,961561.3540482728,16065.0,945496.3540482728,58.85442602230145,0.0016373058186789013,500000.0,0.03213,Within budget and positive ROI,Recommended campaign candidate
All positive ROI paid-offer candidates,Full eligible pool,Upside,71437,5881.21845084569,20775261.191542443,712155.3749999999,20063105.816542443,28.172371536959115,0.005733292238707173,1500000.0,0.47477024999999995,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Upside,50000,5730.796657629744,20631970.441675313,624846.1499999999,20007124.291675314,32.0192807328257,0.0051059635526767315,1500000.0,0.41656409999999994,Within budget and positive ROI,Recommended campaign candidate
Critical risk elite/high value,Risk/value,Upside,43405,5600.200223479671,20500096.614615735,608687.9999999999,19891408.614615735,32.67915354765617,0.005076925311438565,1500000.0,0.40579199999999993,Within budget and positive ROI,Recommended campaign candidate
Premium save budget only,Budget tier,Upside,45511,5340.565854531416,20388619.406780813,652209.2999999998,19736410.106780812,30.26085354315067,0.005566941062874533,1500000.0,0.43480619999999987,Within budget and positive ROI,Recommended campaign candidate
Immediate premium save offer only,Action,Upside,36407,5253.000797128883,20232771.58131291,589793.3999999998,19642978.18131291,33.30484569904125,0.005101320132301044,1500000.0,0.39319559999999987,Within budget and positive ROI,Recommended campaign candidate
"Top 25,000 by net save value",Top-N,Upside,25000,4091.806184109305,19339859.780287042,404999.9999999999,18934859.780287042,46.75274019823962,0.0036647111615691367,1500000.0,0.2699999999999999,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 4 test-and-learn,Priority tier,Upside,14287,2475.875150215688,16999122.01315047,231449.39999999994,16767672.613150468,72.44638617836327,0.002382690410049795,1500000.0,0.15429959999999995,Within budget and positive ROI,Recommended campaign candidate
"Top 10,000 by net save value",Top-N,Upside,10000,1737.8596304149696,14699912.625893598,161999.99999999994,14537912.625893598,89.74020139440496,0.0019285828917147466,1500000.0,0.10799999999999996,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Upside,7143,1242.4461389994135,12222611.173233923,115716.59999999995,12106894.573233923,104.62539145838997,0.0016567985934417997,1500000.0,0.07714439999999996,Within budget and positive ROI,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,Upside,5000,871.6908840093946,9600596.883543242,81000.0,9519596.883543242,117.52588745115114,0.0014764706998892875,1500000.0,0.054,Within budget and positive ROI,Recommended campaign candidate
Tier 1 plus Tier 2 premium save,Priority tier,Upside,3571,623.0255268026092,7280360.886373617,57850.19999999998,7222510.686373617,124.84849985606996,0.001390560874385817,1500000.0,0.03856679999999999,Within budget and positive ROI,Recommended campaign candidate
Tier 1 executive save only,Priority tier,Upside,714,124.21731760121598,1717073.846514773,11566.799999999997,1705507.046514773,147.44847723785088,0.0011788601894488087,1500000.0,0.007711199999999998,Within budget and positive ROI,Recommended campaign candidate
