lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,retention_budget_tier,recommended_retention_action,save_priority_tier,customers,avg_save_worthiness_score,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,expected_saved_clv_proxy,intervention_cost_proxy,net_save_value_proxy,paid_offer_customers,roi_proxy,segment_strategy_readout
Long-tenure,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 2 - Premium save priority,2068,97.14518577882212,0.9979735662696537,0.9995164410058027,23238079.7025,23221393.5525,23186990.121641133,3246178.617029759,37224.0,3208954.617029759,2068,86.20660372420372,Premium campaign candidate
Long-tenure,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 3 - Targeted save priority,2052,92.35114772235228,0.9894499997807832,0.9892787524366472,16196433.500000002,15945074.6325,15970523.804973211,2235873.3326962497,36936.0,2198937.3326962497,2052,59.53371595993745,Monitor or test
Long-tenure,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 4 - Test-and-learn save pool,3974,84.9475504069469,0.9845290035447914,0.9856567689984902,15407603.867500002,15012666.3375,15044018.72406119,2106162.6213685665,71532.0,2034630.6213685665,3974,28.443642305102145,Monitor or test
Established,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 4 - Test-and-learn save pool,2029,85.106556310948,0.9877344285714411,0.9896500739280434,8023572.4075,7893076.3275,7892210.276760567,1104909.4387464796,36522.0,1068387.4387464796,2029,29.253256632891944,Monitor or test
Long-tenure,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 1 - Executive save priority,542,99.47177965816279,0.9942439333794866,1.0,7441655.975,7441655.975,7394442.991487178,1035222.0188082049,9756.0,1025466.0188082049,542,105.11131804102142,Executive review segment
Established,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 3 - Targeted save priority,777,92.84944996351011,0.9897691720777285,0.9871299871299871,6416361.8025,6318626.86,6341715.3586856,887840.1502159841,13986.0,873854.1502159841,777,62.48063422107708,Monitor or test
Established,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 2 - Premium save priority,432,96.56149093827574,0.996485174799997,0.9976851851851852,4664339.1274999995,4649432.677499999,4644620.013903158,650246.8019464421,7776.0,642470.8019464421,432,82.6222739128655,Premium campaign candidate
Long-tenure,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,6046,63.623829102587095,0.5644156958879719,0.5706252067482633,10288168.789166667,5310940.245,5201747.285712876,728244.6199998027,108828.0,619416.6199998027,6046,5.691702686806729,Monitor or test
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 3 - Targeted save priority,408,92.56567856158647,0.997928151939137,1.0,3295064.034166667,3295064.034166667,3288292.134039002,460360.89876546036,7344.0,453016.89876546036,408,61.68530756610299,Monitor or test
Established,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,4001,63.96463310679973,0.6691405032734239,0.6758310422394401,6034353.65,3740523.8975,3711783.054471523,519649.62762601324,72018.0,447631.62762601324,4001,6.215552051237375,Monitor or test
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 2 - Premium save priority,288,96.7532418295164,0.9979675627415323,1.0,3218687.571666667,3218687.571666667,3212165.6795137716,449703.1951319281,5184.0,444519.1951319281,288,85.74830153007872,Premium campaign candidate
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Tier 4 - Test-and-learn save pool,458,84.8536455265421,0.9956991016139237,1.0,1721484.5808333333,1721484.5808333333,1714356.5630464961,240009.91882650947,8244.0,231765.91882650947,458,28.11328467085268,Monitor or test
Long-tenure,No observed activity,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,1403,69.0810343892446,0.9000230763380729,0.9030648610121169,1794714.5450000002,1597559.86,1575941.0798301585,220631.7511762222,25254.0,195377.7511762222,1403,7.736507134561741,Monitor or test
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,1855,55.946324978428656,0.5554192672860692,0.5638814016172506,2762634.68,1511652.8375000001,1462675.2897261437,204774.54056166013,33390.0,171384.54056166013,1855,5.132810439103328,Monitor or test
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,1210,70.60215258274296,0.8442311322933821,0.8603305785123967,1454414.0325,1273691.6183333334,1255168.8743356427,175723.64240699,21780.0,153943.64240699,1210,7.068119486087695,Monitor or test
Long-tenure,High engagement,Medium revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,1355,62.90943882057668,0.7652754661947585,0.7822878228782287,1386376.2575,1013951.8783333334,996233.2464758705,139472.65450662188,24390.0,115082.65450662188,1355,4.718436019131689,Monitor or test
Long-tenure,High engagement,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,3267,49.80099057760435,0.7980298212809889,0.8062442607897153,3179716.2475,2497911.6175,2469437.797253515,123471.88986267577,9801.0,113670.88986267577,3267,11.597886936299947,Monitor or test
Established,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,699,69.07020868685164,0.8469064830588913,0.8597997138769671,805916.02,713360.31,705305.1194777031,98742.71672687845,12582.0,86160.71672687845,699,6.847934885302691,Monitor or test
Unknown tenure,No observed activity,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,1549,56.63119260258004,0.9841973645092532,0.9890251775338929,807902.1600000001,796945.045,791127.6723799211,110757.87413318898,27882.0,82875.87413318898,1549,2.9723791024025887,Monitor or test
Established,No observed activity,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,1079,60.30083195722065,0.920629186797128,0.9267840593141798,828293.3966666667,707838.1266666667,705078.8545442891,98711.03963620047,19422.0,79289.03963620047,1079,4.082434334064487,Monitor or test
Long-tenure,No observed activity,Medium revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,613,61.18467464049318,0.7724667787696278,0.797716150081566,646065.6691666667,475992.4975,453654.48381760693,63511.62773446497,11034.0,52477.62773446497,613,4.7559930881334935,Monitor or test
Early lifecycle,High engagement,No observed revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,308,68.44018222104901,0.89125456860789,0.8993506493506493,346366.22583333333,321698.75833333336,318952.49271810445,44653.348980534625,5544.0,39109.348980534625,308,7.05435587671981,Monitor or test
Long-tenure,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Positive ROI monitor pool,5960,21.600974035613046,0.09415167334525423,0.09513422818791946,10280401.050833333,989961.44,1020484.1925441888,81638.7354035351,44700.0,36938.7354035351,5960,0.8263699195421723,Monitor or test
Long-tenure,No observed activity,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,985,46.26253935580547,0.9032429628873812,0.9258883248730965,670274.6375000001,607888.7100000001,589266.692720332,29463.3346360166,2955.0,26508.3346360166,985,8.970671619633366,Monitor or test
Long-tenure,Medium engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,321,63.07269962926971,0.7360276888712355,0.7258566978193146,360419.54000000004,223224.65750000003,226573.70488354765,31720.31868369667,5778.0,25942.31868369667,321,4.4898440089471565,Monitor or test
Established,Medium engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Positive ROI monitor pool,262,60.15359822425796,0.8479019997699881,0.8244274809160306,210698.41000000003,150543.77000000002,159075.132185823,22270.51850601522,4716.0,17554.51850601522,262,3.7223321683662474,Monitor or test
Long-tenure,High engagement,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,1621,35.54044518790157,0.5872137683939306,0.5774213448488588,1251578.5425000002,689342.9400000001,702380.5176114884,17559.51294028721,1215.75,16343.76294028721,1621,13.443358371611934,Monitor or test
Established,High engagement,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,648,44.569597477911685,0.7741131897323735,0.7854938271604939,479615.72750000004,358979.36750000005,352058.8463431762,17602.94231715881,1944.0,15658.942317158811,648,8.055011480019965,Monitor or test
Established,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Positive ROI monitor pool,1908,23.67571277828196,0.10017276553346292,0.08647798742138364,3359265.5524999998,276614.2275,349225.14228805085,27938.011383044068,14310.0,13628.011383044068,1908,0.9523418157263499,Monitor or test
Long-tenure,High engagement,No observed revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,313,49.6222763439631,0.7834597544236215,0.7603833865814696,277247.6525,207225.1025,214047.15832367315,10702.357916183659,939.0,9763.357916183659,313,10.397612264306346,Monitor or test
Established,High engagement,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,904,35.553133890004645,0.868762267318502,0.9015486725663717,464757.4750000001,400694.5800000001,379015.7978523763,9475.394946309409,678.0,8797.394946309409,904,12.97550877036786,Monitor or test
Long-tenure,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,7945,16.185610617200656,0.08173473954606691,0.0842039018250472,7385417.812500001,623244.2775000001,602490.5240988967,30124.526204944836,23835.0,6289.526204944835,7945,0.2638777514136704,Monitor or test
Unknown tenure,No observed activity,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,415,37.55842452625891,0.9792792691027631,0.9927710843373494,131837.0625,130030.81000000001,127733.5212161408,6386.67606080704,1245.0,5141.67606080704,415,4.129860289804851,Monitor or test
Established,No observed activity,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,677,32.700712862937586,0.9680351214969894,0.9719350073855244,218101.45500000002,206798.37750000003,205895.71071012382,5147.392767753096,507.75,4639.642767753096,677,9.13765193058217,Monitor or test
Unknown tenure,No observed activity,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,861,31.28799482902559,0.9543380483276944,0.9732868757259001,229320.84500000003,217190.87000000002,209551.2453250415,5238.781133126038,645.75,4593.031133126038,861,7.11270791037714,Monitor or test
Early lifecycle,High engagement,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,497,30.55873175105282,0.33651951586608025,0.4044265593561368,331125.30750000005,124224.65250000001,100862.36706732668,5043.118353366334,1491.0,3552.1183533663343,497,2.3823731410907674,Monitor or test
Established,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,4894,12.724064233077831,0.08564895220393398,0.08765835717204741,4118178.22,360853.41500000004,352668.2853369366,17633.41426684683,14682.0,2951.4142668468317,4894,0.20102263089816316,Monitor or test
Long-tenure,No observed activity,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,301,33.94416748100058,0.8530827992334391,0.8604651162790697,131422.42750000002,103771.23250000001,102979.39365784544,2574.484841446136,225.75,2348.734841446136,301,10.404141047380449,Monitor or test
Early lifecycle,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Positive ROI monitor pool,427,20.37653657790082,0.10822772915574726,0.11241217798594848,551294.12,61677.525,59701.42435187163,4776.11394814973,3202.5,1573.6139481497307,427,0.4913704756127184,Monitor or test
Early lifecycle,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,1023,14.212784822480124,0.1005200603467552,0.08699902248289346,760117.54,65344.69500000001,75910.91954840891,3795.5459774204464,3069.0,726.5459774204462,1023,0.2367370405410382,Monitor or test
Long-tenure,High engagement,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Positive ROI monitor pool,252,21.981469482729352,0.08837617833941575,0.0873015873015873,385424.1191666667,24420.89,31890.607257239128,2551.2485805791302,1890.0,661.2485805791301,252,0.3498669738513916,Monitor or test
Long-tenure,High engagement,No observed revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,306,0.0,0.7865410785658609,0.8104575163398693,252022.51750000002,199552.94666666668,195050.1752605591,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,31032,0.0,0.0007431169961015164,0.000580046403712297,25054328.227500003,15238.080000000002,18792.65118553562,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,79557,0.0,0.007810943518050055,0.006511054966879093,98928817.45500001,639708.7775000001,774020.7885138756,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,15239,0.0,0.7130171920538667,0.7159262418793884,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Long-tenure,High engagement,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,30147,0.0,0.0077742347940033575,0.005804889375393903,38094870.49333334,218004.5075,295875.21993826755,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Low value,Medium risk,Automation only,Monitor only,Not targeted,15975,0.0,0.007713793867675186,0.008200312989045383,12776554.1475,103934.90250000001,98858.09198745806,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,3666,0.0,0.7166563654000322,0.7244953627932351,3612146.904166667,2584617.0458333334,2550380.4634902547,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,32245,0.0,0.0323518966742818,0.0327182508916111,36250819.85416667,1109278.2891666668,1090030.5058383013,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,593,0.0,0.006749024721071916,0.0,1091591.0091666668,0.0,7281.105468972319,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,11300,0.0,0.0019665515362442734,0.00026548672566371683,11888899.360000001,3015.5775,24650.748122410463,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,55977,0.0,0.007734834362639201,0.00685996034085428,68351989.81,473785.87750000006,530300.717031982,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,1731,0.0,0.007349931997349083,0.005199306759098787,1734280.08,9283.0725,12757.881050739688,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,458,0.0,0.008893126881630648,0.002183406113537118,570122.8975,1246.05,5069.18039247627,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,4889,0.0,0.034821066698518144,0.03599918183677644,4359341.025,153101.78000000003,148140.12847858435,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,9963,0.0,0.0074955080393758365,0.005420054200542005,7285119.952500001,39485.745,54605.67517178107,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,3721,0.0,0.0074955080393758365,0.0064498790647675355,2893393.75,18721.105,21687.4561142048,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,6282,0.0,0.00749953850311844,0.004297994269340974,4592080.2525,19742.8725,34436.017767667654,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,4269,0.0,0.0005852873217718836,0.0011712344811431249,2099919.25,2453.75,1237.3501079321147,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,3329,0.0,0.01266168734090727,0.021628116551516974,2159010.4575,46856.81,27564.55716253138,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,447,0.0,0.9635859016422456,0.9731543624161074,135301.725,127606.765,126650.20653617411,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,53122,0.0,0.0003130844672011705,5.6473777342720533e-05,28101899.1825,1563.705,8798.274174260216,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,22084,0.0,0.00031306366742664784,4.528165187466039e-05,10790362.440000001,485.84250000000003,3378.0680177752115,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,390,0.0,0.9488861196573601,0.9666666666666667,90470.51000000001,84160.1475,80808.34071912488,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,6740,0.0,0.007000246458129619,0.0057863501483679525,6233943.950000001,36071.78250000001,43639.14405616607,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,2544,0.0,0.0069823839611147225,0.003537735849056604,2470178.62,8697.130000000001,17244.629207170514,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,4587,0.0,0.006966986796608425,0.004578155657292348,4203036.175000001,19423.2675,29294.725982359876,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,293,0.0,0.0008020679851210868,0.0,181997.6925,0.0,146.18021076086166,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,848,0.0,0.863301350310355,0.8903301886792453,566518.6041666667,490417.1783333334,472888.40143418306,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,710,0.0,0.0006518163028606609,0.0,486582.5250000001,0.0,317.1624224821051,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Low value,Medium risk,Automation only,Monitor only,Not targeted,2268,0.0,0.006004564125694505,0.0048500881834215165,1491642.6525,7255.462500000001,8955.419514167972,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,6315,0.0,0.0005466617419729858,0.00031670625494853525,4152296.3625000003,1299.8700000000001,2269.9787148779956,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,996,0.0,0.006012606900196627,0.006024096385542169,614703.3750000001,3758.040000000001,3695.7904603516045,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,2680,0.0,0.0005519826209986776,0.0007462686567164179,1653202.9800000004,1299.8700000000003,912.4840439605586,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,608,0.0,0.008298910629746928,0.004934210526315789,718473.6,3545.1000000000004,5962.548196232542,0.0,0.0,0.0,0,,Monitor or test
