lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,retention_budget_tier,recommended_retention_action,save_priority_tier,customers,avg_save_worthiness_score,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,expected_saved_clv_proxy,intervention_cost_proxy,net_save_value_proxy,paid_offer_customers,roi_proxy,segment_strategy_readout
Long-tenure,Medium engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,1317,0.0,0.9067845387851571,0.914958238420653,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Long-tenure,Medium engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,2432,0.0,0.007591488915232976,0.007401315789473684,2508492.4800000004,18566.145,19043.192855865276,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,930,0.0,0.0074593543893597646,0.004301075268817204,973229.6600000001,4125.81,7260.145530638439,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,13106,0.0,0.0007457410560187067,0.0002289027926140699,10579484.2725,2374.5150000000003,7967.4296266348565,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,956,0.0,0.026823119262392503,0.0198744769874477,927325.3275000001,17825.697500000002,24256.797516425217,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Low value,Medium risk,Automation only,Monitor only,Not targeted,908,0.0,0.0071278292641045885,0.003303964757709251,622277.3700000001,2055.9825,4435.486848276039,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,1742,0.0,0.0006660358496634576,0.000574052812858783,1193840.5050000001,685.3275000000001,795.1405751103265,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,383,0.0,0.007149177157030154,0.0026109660574412533,262480.43250000005,685.3275000000001,1876.5191121963956,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,6639,0.0,0.00769904090556916,0.007531254707034192,5304561.979166667,40920.16500000001,40973.407689234016,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,8670,0.0,0.9788262475955899,0.9806228373702423,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Long-tenure,High engagement,Low revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,1385,0.0,0.01985533500710386,0.020216606498194945,1216958.4483333335,23608.50916666667,24876.135924467573,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,7461,0.0,0.008175898577552314,0.006433453960595094,8579457.25,56153.630000000005,70308.53348641658,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,5888,0.0,0.007571457356670125,0.004245923913043478,6623572.0525,28745.08,50663.24092158918,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,12279,0.0,0.0016649047109515717,0.0002443195699975568,12315286.295,2978.3975,21800.735695259173,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,9474,0.0,0.04752060045578618,0.04823728097952291,9457293.787500001,408689.775,394350.0267920356,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,856,0.0,0.5517935338547317,0.552570093457944,694387.7200000001,362423.6633333334,363058.3525830294,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,78055,0.0,0.00025534706635982725,0.0,57293111.947500005,0.0,14696.17054694132,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,32912,0.0,0.0002550896392878446,0.0,24155168.895000003,0.0,6190.734184648675,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,390,0.0,0.8525462331223573,0.8974358974358975,207342.28666666668,179224.5541666667,164770.14884256906,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,6305,0.0,0.008767679939030415,0.006978588421887391,8588481.59,62124.042499999996,76032.9418581899,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,375,0.0,0.0076307630646893125,0.0,246430.11250000002,0.0,1866.674873150341,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,1331,0.0,0.0003115824241444091,0.0,653188.25,0.0,203.52197835764431,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,2847,0.0,0.0002097887138275525,0.0,1505049.975,0.0,315.80279415511166,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,1207,0.0,0.00020581392446947453,0.0,589101.7275,0.0,121.23175731785929,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,Medium engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,325,0.0,0.9143687181535742,0.9292307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Early lifecycle,Medium engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,1080,0.0,0.0004926455373517964,0.0,615568.1675,0.0,322.032685451654,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,Medium engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,1277,0.0,0.00033798076027940425,0.0,710813.3175000001,0.0,240.24122546537555,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,Medium engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,518,0.0,0.00030683949968026206,0.0,288333.04500000004,0.0,88.4719672690865,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,3206,0.0,0.7391907340677383,0.7442295695570805,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Early lifecycle,High engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,894,0.0,0.006402799864118186,0.0022371364653243847,936239.265,1995.1100000000004,6006.756219325016,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,306,0.0,0.006321683163541559,0.0,319420.98500000004,0.0,2020.4512606518808,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,1490,0.0,0.005527604179291464,0.0020134228187919465,1417148.33,2207.3025000000002,7916.819720695136,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,14412,0.0,0.0007438792255315467,0.0,10603476.325000001,0.0,9077.974542545715,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,2092,0.0,0.054775772994339694,0.058317399617590825,1887579.0375,93198.95000000001,89615.65747633026,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,369,0.0,0.3863209802231302,0.42276422764227645,235914.18500000003,90869.48000000001,81119.88253689132,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,16384,0.0,0.00024860689125552816,6.103515625e-05,11012044.972500002,804.3750000000001,2752.36584099486,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,6895,0.0,0.0002479619527258188,0.0,4626385.335000001,0.0,1153.0171707273316,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,2785,0.0,0.008220237444296043,0.006463195691202872,3187159.1700000004,20871.175000000003,26271.70051760057,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,629,0.0,0.660299494966274,0.6597774244833068,471710.75250000006,300928.4525,297159.3735966259,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,894,0.0,0.030451255693518843,0.02796420581655481,730177.6950000001,19812.487500000003,21867.779628134955,0.0,0.0,0.0,0,,Monitor or test
Established,Medium engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,292,0.0,0.006023650172162161,0.0,265320.47750000004,0.0,1605.581573181761,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,257,0.0,0.9632698442813322,0.9727626459143969,74005.71750000001,70154.37000000001,69045.79411675218,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,1070,0.0,0.007030044595890139,0.004672897196261682,886032.2250000001,4140.337500000001,6228.846055145767,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,27838,0.0,0.008428672970418659,0.007866944464401178,42294469.88,340017.21,357323.76989305636,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,27910,0.0,0.00025745191530302745,7.165890361877464e-05,16564101.840000002,1171.17,4264.202436490659,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,394,0.0,0.00705700436996459,0.005076142131979695,344689.15,1762.67,2433.1920250692524,0.0,0.0,0.0,0,,Monitor or test
Established,Medium engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,771,0.0,0.9090665244488368,0.9092088197146563,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Established,Medium engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,337,0.0,0.00611939742631165,0.005934718100890208,314961.04250000004,1869.2050000000002,1927.3717928629346,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,11734,0.0,0.0002571307548995938,0.0,6483989.655000001,0.0,1667.2416064407857,0.0,0.0,0.0,0,,Monitor or test
Established,Medium engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,5900,0.0,0.00030577541497789926,0.00016949152542372882,3663767.2500000005,620.9775000000001,1120.2899512511867,0.0,0.0,0.0,0,,Monitor or test
Established,Medium engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,2455,0.0,0.00029966003706974483,0.0,1524499.7625000002,0.0,456.8316553435672,0.0,0.0,0.0,0,,Monitor or test
Established,Low engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,521,0.0,0.000294234721354645,0.0,323529.2775,0.0,95.19354681528213,0.0,0.0,0.0,0,,Monitor or test
Established,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,898,0.0,0.006916302652975902,0.004454342984409799,723025.1925000001,3312.2700000000004,5015.130640206909,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,9003,0.0,0.7018864511209513,0.7053204487393091,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Early lifecycle,High engagement,Medium revenue,Elite value,Low risk,Premium save budget,Protect without discount,Relationship protection only,527,0.0,0.0024118956551511406,0.0,551706.025,0.0,1331.5951397334227,13.315951397334228,131.75,-118.43404860266577,0,-0.8989301601720362,Protect relationship without paid offer
Early lifecycle,High engagement,Medium revenue,High value,Low risk,Moderate save budget,Protect without discount,Relationship protection only,1456,0.0,0.0024161172124739718,0.0,1517586.2325000002,0.0,3672.685014472027,36.72685014472027,364.0,-327.2731498552797,0,-0.8991020600419772,Protect relationship without paid offer
Long-tenure,High engagement,Medium revenue,Elite value,Low risk,Premium save budget,Protect without discount,Relationship protection only,2525,0.0,0.0025096268711582844,0.0,3078924.4525,0.0,7703.242137057958,77.03242137057958,631.25,-554.2175786294204,0,-0.8779684413931411,Protect relationship without paid offer
Established,High engagement,Medium revenue,Elite value,Low risk,Premium save budget,Protect without discount,Relationship protection only,3057,0.0,0.0023814698321908217,0.0,3470721.4425000004,0.0,8263.983110810424,82.63983110810425,764.25,-681.6101688918958,0,-0.8918680652821666,Protect relationship without paid offer
Long-tenure,High engagement,Low revenue,Low value,High risk,Automation only,Low-cost automated retention,Not targeted,2599,0.0,0.013129496757170333,0.02308580223162755,2205212.7500000005,47917.545000000006,28714.552110973764,717.8638027743442,1949.25,-1231.386197225656,0,-0.6317230715534979,Monitor or test
Long-tenure,High engagement,Low revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,316,0.0,0.021867653349056822,0.006329113924050633,568753.2175,2821.0000000000005,12364.618488443635,989.1694790754909,2370.0,-1380.830520924509,0,-0.5826289117824933,Monitor or test
Long-tenure,High engagement,Medium revenue,High value,Low risk,Moderate save budget,Protect without discount,Relationship protection only,6668,0.0,0.0025105475924910342,0.0005998800239952009,8100001.325000001,4658.485000000001,20279.792449514727,202.7979244951473,1667.0,-1464.2020755048527,0,-0.8783455761876741,Protect relationship without paid offer
Long-tenure,Medium engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,886,0.0,0.02182536546495176,0.020316027088036117,913866.915,18566.145,19945.479406203005,997.2739703101504,2658.0,-1660.7260296898496,0,-0.6248028704626973,Monitor or test
Unknown tenure,No observed activity,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,752,0.0,0.017081652052534847,0.026595744680851064,549875.56,14624.350000000002,9392.782988112749,469.63914940563745,2256.0,-1786.3608505943625,0,-0.79182661817126,Monitor or test
Long-tenure,No observed activity,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,317,0.0,0.01894966708090429,0.0,377763.23000000004,0.0,7210.198339722914,576.8158671778331,2377.5,-1800.684132822167,0,-0.7573855448253068,Monitor or test
Established,High engagement,Medium revenue,High value,Low risk,Moderate save budget,Protect without discount,Relationship protection only,8105,0.0,0.0023790846126043944,0.00024676125848241827,9209519.7675,2188.8100000000004,21906.372747042038,219.0637274704204,2026.25,-1807.1862725295796,0,-0.8918871178430992,Protect relationship without paid offer
Unknown tenure,No observed activity,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,289,0.0,0.017081652052534847,0.01384083044982699,224265.86000000002,3137.94,3830.831387782493,306.46651102259943,2167.5,-1861.0334889774006,0,-0.8586082994128722,Monitor or test
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,Premium save budget,Immediate premium save offer,Not targeted,627,0.0,0.1374863708833833,0.12599681020733652,492159.265,61898.85,67254.93286618189,9415.690601265465,11286.0,-1870.309398734534,0,-0.16571942218097943,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,346,0.0,0.02372819743853157,0.014450867052023121,362721.80750000005,5157.262500000001,8421.171810856631,673.6937448685305,2595.0,-1921.3062551314695,0,-0.7403877669100075,Monitor or test
Early lifecycle,High engagement,High revenue,Elite value,High risk,Premium save budget,Premium win-back review,Not targeted,318,0.0,0.03131127192605839,0.025157232704402517,429462.735,10737.35,13010.98274729064,1561.3179296748767,3816.0,-2254.6820703251233,0,-0.5908495991418038,Monitor or test
Established,No observed activity,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,1249,0.0,0.026520308401491336,0.024819855884707767,1034256.3075000001,25670.092500000002,27428.79624108766,1371.439812054383,3747.0,-2375.560187945617,0,-0.6339899087124679,Monitor or test
Established,No observed activity,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,428,0.0,0.027222571024577754,0.035046728971962614,374068.59750000003,13006.955000000002,10181.40068865823,814.5120550926583,3210.0,-2395.4879449073414,0,-0.7462579267624116,Monitor or test
Established,No observed activity,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,511,0.0,0.02006388303424911,0.01761252446183953,544061.7000000001,9582.300000000001,10915.990312214732,873.2792249771785,3832.5,-2959.2207750228217,0,-0.7721384931566397,Monitor or test
Unknown tenure,No observed activity,High revenue,Elite value,High risk,Premium save budget,Premium win-back review,Not targeted,339,0.0,0.036709805269915415,0.04129793510324484,171581.28,7403.110000000001,6689.697742926929,802.7637291512315,4068.0,-3265.2362708487685,0,-0.8026637833944859,Monitor or test
Early lifecycle,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,2259,0.0,0.03546034527414755,0.027003098716246128,2198436.89,54216.630000000005,66814.26918033659,3340.7134590168293,6777.0,-3436.2865409831707,0,-0.5070512824233688,Monitor or test
Early lifecycle,High engagement,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,1242,0.0,0.057078454419357445,0.06038647342995169,1113354.0925,56826.965000000004,54995.03493476396,4399.602794781116,9315.0,-4915.397205218884,0,-0.527686227076638,Monitor or test
Established,High engagement,High revenue,Elite value,High risk,Premium save budget,Premium win-back review,Not targeted,1207,0.0,0.022656746892509197,0.018227009113504555,1802507.5575,29369.86,40580.30364660946,4869.636437593135,14484.0,-9614.363562406865,0,-0.6637920161838488,Monitor or test
Long-tenure,No observed activity,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,5678,0.0,0.02614721210875394,0.028531172948221203,5251681.565,149836.635,137316.83180768785,6865.841590384393,17034.0,-10168.158409615606,0,-0.5969330990733595,Monitor or test
Long-tenure,No observed activity,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,2194,0.0,0.02679202630924613,0.028258887876025523,2132757.921666667,60327.865000000005,57184.2523530295,4574.74018824236,16455.0,-11880.25981175764,0,-0.7219847956097016,Monitor or test
Established,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,9607,0.0,0.02805715846666597,0.032268137816175706,10393031.610000001,295915.49000000005,252036.56688601934,12601.828344300968,28821.0,-16219.171655699032,0,-0.5627553400540937,Monitor or test
Long-tenure,High engagement,High revenue,Elite value,High risk,Premium save budget,Premium win-back review,Not targeted,2633,0.0,0.020590760126283626,0.0189897455374098,4637360.5633333335,72555.5675,94280.24293910006,11313.629152692009,31596.0,-20282.370847307993,0,-0.6419284354762625,Monitor or test
Established,High engagement,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,5756,0.0,0.04967370195770195,0.05107713690062544,5698576.8775,258350.46250000002,248406.7575160845,19872.54060128676,43170.0,-23297.45939871324,0,-0.5396678109500402,Monitor or test
Early lifecycle,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,6358,0.0,0.039131046831236735,0.03806228373702422,7521260.825,262553.85,258707.44511690846,20696.59560935268,47685.0,-26988.40439064732,0,-0.5659726201247209,Monitor or test
Long-tenure,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,13052,0.0,0.06028649041636641,0.05654305853509041,15588672.341666667,767144.5925,827770.483009211,66221.63864073688,97890.0,-31668.36135926312,0,-0.32350966757853833,Monitor or test
Established,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,13287,0.0,0.047850697254942606,0.045156920298035676,15638839.0925,602774.64,638208.9307286888,51056.71445829511,99652.5,-48595.78554170489,0,-0.4876524476727116,Monitor or test
Long-tenure,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Not targeted,27265,0.0,0.020285894675906836,0.022629745094443425,33529237.560000002,729043.2175,655735.2207348105,32786.76103674053,81795.0,-49008.23896325947,0,-0.5991593491443178,Monitor or test
Long-tenure,High engagement,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Not targeted,14312,0.0,0.03572272279993174,0.03444661822247065,16920673.835,517799.4791666667,540829.4012213682,43266.35209770946,107340.0,-64073.64790229054,0,-0.5969223765818013,Monitor or test
