lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation
Long-tenure,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,14690,0.817426820966644,0.8140968161436886,1.261061946902655,1.0,0.9918707874303851,72578474.78916657,66933351.19250099,831.7606761969595,182135368.93821514,Highest priority lifecycle segment
Established,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,7391,0.8193749154376945,0.8154135054039657,1.0819916114192938,1.0,0.9976237558499781,27177197.254998144,24622967.524998445,697.0002705993776,67051301.68200815,Highest priority lifecycle segment
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2367,0.9286016054076891,0.918927817543274,3.8652302492606676,2.0,0.7986119881208642,9732401.174166724,9551678.760000024,695.4295169694411,27493473.11520194,Highest priority lifecycle segment
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2865,0.5256544502617801,0.522094332185104,1.068760907504363,1.0,0.9992321116928448,5516467.937499996,3826643.274999991,402.5657940663176,8736768.060257595,Highest priority lifecycle segment
Established,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1039,0.9056785370548605,0.8961426031944747,2.803657362848893,2.0,0.8565820416192655,2773199.184166661,2680643.4741666624,503.0522938723132,7624323.443013984,Highest priority lifecycle segment
Long-tenure,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,3267,0.8062442607897153,0.798029821280987,3.1068258340985615,2.0,0.9571414954645278,3179716.247500004,2497911.6174999923,149.0,6736979.368783819,Highest priority lifecycle segment
Long-tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1477,0.906567366283006,0.903488314290744,3.1665538253215977,1.0,0.9945624824557205,2096997.9550000266,1893994.5483333596,299.69329722410293,5407794.735124389,Highest priority lifecycle segment
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3666,0.7244953627932351,0.7166563654000304,3.9871794871794872,2.0,0.9313140365564809,3612146.904166699,2584617.0458333446,138.206401163848,3327674.477888425,Lifecycle monitoring segment
Long-tenure,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,21809,0.06272639735888853,0.06483540044308589,1.1078912375624743,1.0,0.9961097667762937,30870258.683333762,1851637.1250000019,217.92785852935333,2957533.1392119913,Highest priority lifecycle segment
Long-tenure,High engagement,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1362,0.7812041116005873,0.764060671559415,4.417033773861967,2.0,0.9122182822268595,1403639.1524999968,1023437.7074999979,155.62310327949066,2708109.3143875115,Highest priority lifecycle segment
Unknown tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1555,0.9877813504823151,0.9831212427594846,1.342122186495177,1.0,0.9983703270648608,825523.07499998,813564.5049999803,241.07073954983923,2420095.578330849,Lifecycle monitoring segment
Established,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1095,0.9205479452054794,0.9153417885703464,1.2127853881278539,1.0,0.9990867579908675,941179.8066666628,814373.841666662,247.4027397260274,2339706.375694093,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,35210,0.036523714853734734,0.03415158829968985,1.347855722806021,1.0,0.997905945448263,40914655.372498825,1352287.4949999996,149.0,2097705.391188088,Highest priority lifecycle segment
Long-tenure,No observed activity,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,985,0.9258883248730965,0.9032429628873783,3.52994923857868,2.0,0.9753661578460028,670274.6374999922,607888.7099999937,149.0,1735439.8642892614,Lifecycle monitoring segment
Established,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,16438,0.047998539968365984,0.052106730462802786,1.0006083465141744,1.0,1.0,20881249.610000122,911713.6925,200.62708358681104,1438830.1682015164,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,615,0.7983739837398374,0.7703804276089968,6.803252032520326,4.0,0.8755804102888952,647968.7716666664,477895.5999999994,186.97018970189694,1269085.5250206855,Lifecycle monitoring segment
Established,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,14501,0.05096200262050893,0.0474940413402739,1.2400524101786083,1.0,1.0,14511209.83000019,656768.9050000001,149.0,1031942.2717876148,Lifecycle monitoring segment
Established,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,648,0.7854938271604939,0.774113189732374,1.617283950617284,1.0,0.9978395061728393,479615.72750000027,358979.36749999993,149.0,955305.0460853025,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32245,0.0327182508916111,0.03235189667428164,1.298743991316483,1.0,0.9950972327652707,36250819.85416724,1109278.289166666,142.41706724556784,858874.1593206075,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,14564,0.035361164515243064,0.03663378231626922,2.353886294973908,1.0,0.9630478344877395,17306097.954166695,542220.3691666668,153.28575025176207,843125.9282072484,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,79557,0.006511054966879093,0.007810943518050072,1.1892730997900876,1.0,1.0,98928817.45499401,639708.7775000001,149.0,741411.3326234113,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,848,0.8903301886792453,0.863301350310357,3.7535377358490565,2.0,0.9779625154558802,566518.6041666667,490417.17833333527,143.06407232704402,685346.2429529241,Lifecycle monitoring segment
Early lifecycle,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,7122,0.041982589160348215,0.04302208268058102,1.0001404099971918,1.0,1.0,8531866.882500034,336426.35,191.26579612468407,526350.1683684391,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,856,0.552570093457944,0.5517935338547323,6.793224299065421,3.0,0.8434497106723855,694387.7199999983,362423.66333333345,102.97819314641742,421805.0229574585,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,5796,0.051932367149758456,0.05010137488660257,1.2232574189095928,1.0,0.9999424890729237,5735169.11500005,264809.5125000001,149.0698757763975,417115.2497389517,Lifecycle monitoring segment
Long-tenure,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,27838,0.007866944464401178,0.00842867297041859,1.004921330555356,1.0,0.9997724051902533,42294469.880000904,340017.21,196.14707713676748,394315.5694475148,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,629,0.6597774244833068,0.6602994949662745,1.6120826709062004,1.0,0.9994700582935876,471710.7524999992,300928.45249999966,138.43826179120296,374723.518280049,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,55977,0.00685996034085428,0.0077348343626392705,1.1730353538060274,1.0,1.0,68351989.81000033,473785.87749999994,146.24874502027617,358087.8995893651,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,9474,0.04823728097952291,0.04752060045578614,1.2304200971078743,1.0,0.9999136392423282,9457293.787500018,408689.7749999997,148.63742875237492,321083.21888110484,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,1621,0.5774213448488588,0.5872137683939309,5.370758790869833,2.0,0.9006718678894972,1251578.5424999958,689342.9399999984,99.0,273533.65137828724,Do not spend premium budget
Long-tenure,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,30147,0.005804889375393903,0.007774234794003353,1.7195409161773973,1.0,0.981364281418411,38094870.49333391,218004.5075,151.4993310556048,252654.22458657442,Lifecycle monitoring segment
Early lifecycle,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,500,0.404,0.33526232943815687,1.094,1.0,1.0,332476.3649999996,124675.0050000001,149.0,249710.75639852099,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,5747,0.029580650774317034,0.026881551656734642,1.0542891943622759,1.0,1.0,5315500.872499908,157235.97499999995,149.0,242194.08297638924,Lifecycle monitoring segment
Early lifecycle,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,3282,0.04570383912248629,0.055739470356194414,1.1273613650213286,1.0,1.0,2958554.429999993,119561.32499999998,149.0,189338.4148958772,Lifecycle monitoring segment
Established,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,904,0.9015486725663717,0.8687622673184997,1.8174778761061947,1.0,0.999010570304818,464757.47500000003,400694.57999999996,98.97123893805309,187200.72795575846,Do not spend premium budget
Long-tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4889,0.03599918183677644,0.03482106669851835,1.0572714256494171,1.0,0.9993618928446814,4359341.024999942,153101.77999999988,143.64287175291471,118824.7104697813,Lifecycle monitoring segment
Unknown tenure,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,861,0.9732868757259001,0.9543380483276964,1.1939605110336817,1.0,1.0,229320.84499999805,217190.8699999983,98.92566782810685,106116.09524759778,Do not spend premium budget
Long-tenure,No observed activity,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,2292,0.028795811518324606,0.029173141747154678,1.9197207678883073,1.0,0.9724418132205398,2285490.4041667213,65968.6408333333,152.85674810936592,101839.7300148469,Lifecycle monitoring segment
Established,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,677,0.9719350073855244,0.9680351214969901,1.1816838995568686,1.0,0.999753815854259,218101.45499999984,206798.37749999992,99.0,101746.6174971482,Do not spend premium budget
Early lifecycle,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,1268,0.06072555205047318,0.058332084093363934,1.114353312302839,1.0,1.0,1134667.9825000013,58478.939999999995,149.08044164037855,92835.20766865616,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,15975,0.008200312989045383,0.007713793867675307,1.00075117370892,1.0,0.9998935837245696,12776554.147500467,103934.90250000003,99.0,78552.47618515645,Lifecycle monitoring segment
Early lifecycle,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2092,0.058317399617590825,0.054775772994339625,1.1218929254302104,1.0,1.0,1887579.0375000043,93198.94999999995,148.14818355640534,73727.99589638307,Lifecycle monitoring segment
Established,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,6305,0.006978588421887391,0.0087676799390304,1.0,1.0,1.0,8588481.589999981,62124.0425,204.74306106264868,72069.03515433252,Lifecycle monitoring segment
Established,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,7461,0.006433453960595094,0.008175898577552321,1.0202385739177053,1.0,1.0,8579457.250000063,56153.630000000005,149.0,65104.64684118761,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,9963,0.005420054200542005,0.007495508039375286,1.0,1.0,1.0,7285119.952500585,39485.74499999997,149.0,45748.96732695142,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,6740,0.0057863501483679525,0.007000246458129581,1.2780415430267063,1.0,1.0,6233943.949999895,36071.7825,149.0,41772.93794783665,Lifecycle monitoring segment
Established,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,1257,0.024661893396976928,0.026906330225895544,1.1933174224343674,1.0,0.9994431185361973,1040880.8475000049,25670.09250000002,149.0,39541.17072860146,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3329,0.021628116551516974,0.012661687340906573,1.1661159507359566,1.0,0.999474316611595,2159010.457499883,46856.81,132.15410033042957,35587.5722085092,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6639,0.007531254707034192,0.007699040905569128,1.0128031330019582,1.0,0.9994082648875185,5304561.9791666325,40920.165000000015,99.0251041823568,30926.408268148236,Lifecycle monitoring segment
Long-tenure,Medium engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,902,0.019955654101995565,0.023195299678527657,1.3503325942350333,1.0,0.9975678042353546,925333.9550000087,18566.144999999997,149.0,28495.18844572499,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2785,0.006463195691202872,0.00822023744429603,1.02262118491921,1.0,1.0,3187159.1700000013,20871.175000000003,149.0,24199.152166377677,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,752,0.026595744680851064,0.0170816520525351,2.0013297872340425,2.0,1.0,549875.5600000106,14624.350000000004,149.0,22311.237087291745,Lifecycle monitoring segment
